metro,state_code,metro_state_code,count,company_1_id,company_1_name,company_1_website,company_1_industry,company_1_linkedin_url,company_1_count,company_2_id,company_2_name,company_2_website,company_2_industry,company_2_linkedin_url,company_2_count,company_3_id,company_3_name,company_3_website,company_3_industry,company_3_linkedin_url,company_3_count,company_4_id,company_4_name,company_4_website,company_4_industry,company_4_linkedin_url,company_4_count,company_5_id,company_5_name,company_5_website,company_5_industry,company_5_linkedin_url,company_5_count,company_6_id,company_6_name,company_6_website,company_6_industry,company_6_linkedin_url,company_6_count,company_7_id,company_7_name,company_7_website,company_7_industry,company_7_linkedin_url,company_7_count,company_8_id,company_8_name,company_8_website,company_8_industry,company_8_linkedin_url,company_8_count,company_9_id,company_9_name,company_9_website,company_9_industry,company_9_linkedin_url,company_9_count,company_10_id,company_10_name,company_10_website,company_10_industry,company_10_linkedin_url,company_10_count
"brownsville, texas",TX,"Brownsville, TX",94373,bisd,bisd,None,education management,linkedin.com/company/bisd,1985,the-university-of-texas-rio-grande-valley,the university of texas rio grande valley,utrgv.edu,higher education,linkedin.com/company/the-university-of-texas-rio-grande-valley,671,valley-baptist-health-system,valley baptist health system,valleybaptist.net,hospital & health care,linkedin.com/company/valley-baptist-health-system,495,hcisd,hcisd,hcisdowls.net,education management,linkedin.com/company/hcisd,430,southwestkeyprograms,southwest key programs,southwestkey.org,individual & family services,linkedin.com/company/southwestkeyprograms,420,university-of-texas-at-brownsville,university of texas at brownsville,utb.edu,higher education,linkedin.com/company/university-of-texas-at-brownsville,356,texas-state-technical-college,texas state technical college,tstc.edu,higher education,linkedin.com/company/texas-state-technical-college,334,cobtx,"city of brownsville, texas",cob.us,government administration,linkedin.com/company/cobtx,308,idea-public-schools,idea public schools,ideapublicschools.org,education management,linkedin.com/company/idea-public-schools,287,spacex,spacex,spacex.com,aviation & aerospace,linkedin.com/company/spacex,284
"brunswick, georgia",GA,"Brunswick, GA",30034,sea-island-company,sea island company,seaisland.com,hospitality,linkedin.com/company/sea-island-company,460,southeast-georgia-health-system,southeast georgia health system,sghs.org,hospital & health care,linkedin.com/company/southeast-georgia-health-system,458,glynn-county-schools,glynn county schools,None,primary/secondary education,linkedin.com/company/glynn-county-schools,255,college-of-coastal-georgia,college of coastal georgia,ccga.edu,education management,linkedin.com/company/college-of-coastal-georgia,241,us-department-of-homeland-security,u.s. department of homeland security,dhs.gov,government administration,linkedin.com/company/us-department-of-homeland-security,121,georgia-pacific-llc,georgia-pacific llc,gp.com,paper & forest products,linkedin.com/company/georgia-pacific-llc,118,richproducts,rich products corporation,richs.com,food production,linkedin.com/company/richproducts,111,king-&-prince-seafood,king & prince seafood,kpseafood.com,food production,linkedin.com/company/king-&-prince-seafood,93,federal-law-enforcement-training-center,federal law enforcement training center,fletc.gov,law enforcement,linkedin.com/company/federal-law-enforcement-training-center,80,radial-inc,radial inc.,radial.com,internet,linkedin.com/company/radial-inc,75
"buffalo, new york",NY,"Buffalo, NY",501867,universityatbuffalo,university at buffalo,buffalo.edu,higher education,linkedin.com/company/universityatbuffalo,6623,m&t-bank,m&t bank,mtb.com,financial services,linkedin.com/company/m&t-bank,5827,kaleida-health,kaleida health,kaleidahealth.org,hospital & health care,linkedin.com/company/kaleida-health,3537,buffalo-public-schools,buffalo public schools,buffaloschools.org,education management,linkedin.com/company/buffalo-public-schools,2082,hsbc,hsbc,hsbc.com,financial services,linkedin.com/company/hsbc,1807,catholichealth,catholic health,chsbuffalo.org,hospital & health care,linkedin.com/company/catholichealth,1789,citi,citi,citigroup.com,financial services,linkedin.com/company/citi,1662,moog,moog inc.,moog.com,aviation & aerospace,linkedin.com/company/moog,1591,ingram-micro,ingram micro,ingrammicro.com,information technology and services,linkedin.com/company/ingram-micro,1578,roswellpark,roswell park comprehensive cancer center,roswellpark.org,hospital & health care,linkedin.com/company/roswellpark,1342
"burlington, north carolina",NC,"Burlington, NC",54457,labcorp,labcorp,labcorp.com,hospital & health care,linkedin.com/company/labcorp,1420,elon-university,elon university,elon.edu,higher education,linkedin.com/company/elon-university,1010,unchealth,unc health,unchealth.org,hospital & health care,linkedin.com/company/unchealth,383,cone-health,cone health,conehealth.com,hospital & health care,linkedin.com/company/cone-health,367,alamance-burlington-school-system,alamance-burlington school system,None,education management,linkedin.com/company/alamance-burlington-school-system,283,alamancecc,alamance community college,alamancecc.edu,higher education,linkedin.com/company/alamancecc,275,south-graham-elementary-school,alamance-burlington school system's transportation department,None,transportation/trucking/railroad,linkedin.com/company/south-graham-elementary-school,207,university-of-north-carolina-at-chapel-hill,university of north carolina at chapel hill,unc.edu,higher education,linkedin.com/company/university-of-north-carolina-at-chapel-hill,189,duke-university-health-system,duke university health system,dukemedicine.org,hospital & health care,linkedin.com/company/duke-university-health-system,164,alamance-regional-medical-center-inc,"alamance regional medical center, inc",armc.com,hospital & health care,linkedin.com/company/alamance-regional-medical-center-inc,162
"burlington, vermont",VT,"Burlington, VT",111818,university-of-vermont,university of vermont,uvm.edu,higher education,linkedin.com/company/university-of-vermont,2973,university-of-vermont-medical-center,the university of vermont medical center,uvmhealth.org,hospital & health care,linkedin.com/company/university-of-vermont-medical-center,2742,state-of-vermont,state of vermont,vermont.gov,government administration,linkedin.com/company/state-of-vermont,956,ibm,ibm,ibm.com,information technology and services,linkedin.com/company/ibm,918,globalfoundries,globalfoundries,globalfoundries.com,semiconductors,linkedin.com/company/globalfoundries,801,howardcenter,howard center,howardcenter.org,mental health care,linkedin.com/company/howardcenter,545,champlainedu,champlain college center for professional & executive development,champlain.edu,higher education,linkedin.com/company/champlainedu,525,dealer-com,dealer.com,dealer.com,automotive,linkedin.com/company/dealer-com,345,burlington-school-district,burlington school district,burlingtonschooldistrict.com,recreational facilities and services,linkedin.com/company/burlington-school-district,294,saint-michael's-college,saint michael's college,smcvt.edu,higher education,linkedin.com/company/saint-michael's-college,265
"california, maryland",MD,"California, MD",28097,naval-air-systems-command,naval air systems command (navair),navair.navy.mil,defense & space,linkedin.com/company/naval-air-systems-command,1093,us-navy,us navy,navy.com,military,linkedin.com/company/us-navy,842,st.-mary's-county-public-schools,st. mary's county public schools,smcps.org,education management,linkedin.com/company/st.-mary's-county-public-schools,320,naval-air-warfare-center-aircraft-division-nawcad-,naval air warfare center aircraft division (nawcad),navair.navy.mil/nawcad,aviation & aerospace,linkedin.com/company/naval-air-warfare-center-aircraft-division-nawcad-,222,booz-allen-hamilton,booz allen hamilton,boozallen.com,management consulting,linkedin.com/company/booz-allen-hamilton,211,bae-systems,bae systems,baesystems.com,defense & space,linkedin.com/company/bae-systems,180,kbr-careers-gsus,kbr careers - gov solutions,wyle.com,defense & space,linkedin.com/company/kbr-careers-gsus,121,dyncorp-international,dyncorp international,dyn-intl.com,defense & space,linkedin.com/company/dyncorp-international,120,lockheed-martin,lockheed martin,lockheedmartin.com,defense & space,linkedin.com/company/lockheed-martin,117,st.-mary's-college-of-maryland,st. mary's college of maryland,smcm.edu,higher education,linkedin.com/company/st.-mary's-college-of-maryland,103
"canton, ohio",OH,"Canton, OH",142856,aultmanhospital,aultman hospital,aultman.org,hospital & health care,linkedin.com/company/aultmanhospital,1379,the-timken-company,the timken company,timken.com,mechanical or industrial engineering,linkedin.com/company/the-timken-company,994,diebold,diebold nixdorf,dieboldnixdorf.com,information technology and services,linkedin.com/company/diebold,705,mercy-medical-center-canton-ohio,"mercy medical center, canton, ohio",cantonmercy.org,hospital & health care,linkedin.com/company/mercy-medical-center-canton-ohio,396,exploring-opportunities,exploring opportunities,None,construction,linkedin.com/company/exploring-opportunities,386,summahealth,summa health,summahealth.org,hospital & health care,linkedin.com/company/summahealth,377,akron-children's-hospital,akron children's hospital,akronchildrens.org,hospital & health care,linkedin.com/company/akron-children's-hospital,359,timkensteel-corporation,timkensteel corporation,timkensteel.com,mining & metals,linkedin.com/company/timkensteel-corporation,332,stark-state-college,stark state college,starkstate.edu,higher education,linkedin.com/company/stark-state-college,311,canton-city-schools,canton city schools,None,hospital & health care,linkedin.com/company/canton-city-schools,282
"cape coral, florida",FL,"Cape Coral, FL",319398,lee-health,lee health,leehealth.org,hospital & health care,linkedin.com/company/lee-health,5127,lee-county-school-district,lee county school district,leeschools.net,education management,linkedin.com/company/lee-county-school-district,3639,florida-gulf-coast-university,florida gulf coast university,fgcu.edu,higher education,linkedin.com/company/florida-gulf-coast-university,1717,gartner,gartner,gartner.com,information technology and services,linkedin.com/company/gartner,1646,chico's-fas-inc,"chico's fas, inc.",chicosfas.com,retail,linkedin.com/company/chico's-fas-inc,845,publix-super-markets,publix super markets,publix.com,retail,linkedin.com/company/publix-super-markets,841,lee-county,lee county,lee-county.com,government administration,linkedin.com/company/lee-county,770,fsw-college,florida southwestern state college,fsw.edu,higher education,linkedin.com/company/fsw-college,551,walmart,walmart,walmartcareers.com,retail,linkedin.com/company/walmart,533,arthrex,arthrex,arthrex.com,medical devices,linkedin.com/company/arthrex,523
"cape girardeau, missouri",MO,"Cape Girardeau, MO",27552,southeast-missouri-state-university,southeast missouri state university,semo.edu,higher education,linkedin.com/company/southeast-missouri-state-university,958,saint-francis-medical-center_2,saint francis healthcare system,sfmc.net,hospital & health care,linkedin.com/company/saint-francis-medical-center_2,365,procter-and-gamble,procter & gamble,pg.com,consumer goods,linkedin.com/company/procter-and-gamble,251,southeasthealth,southeasthealth,sehealth.org,hospital & health care,linkedin.com/company/southeasthealth,156,southeast-missouri-hospital_2,southeast missouri hospital,linkedin.com/company/southeasthealth,hospital & health care,linkedin.com/company/southeast-missouri-hospital_2,128,city-of-cape-girardeau-missouri,"city of cape girardeau, missouri",cityofcapegirardeau.org,government administration,linkedin.com/company/city-of-cape-girardeau-missouri,126,at&t,at&t,att.com,telecommunications,linkedin.com/company/at&t,104,drury-hotels,drury hotels,druryhotels.com,hospitality,linkedin.com/company/drury-hotels,100,walmart,walmart,walmartcareers.com,retail,linkedin.com/company/walmart,74,mondi-group,mondi group,mondigroup.com,paper & forest products,linkedin.com/company/mondi-group,58
"carbondale, illinois",IL,"Carbondale, IL",40567,southern-illinois-university,southern illinois university,siu.edu,higher education,linkedin.com/company/southern-illinois-university,2530,southern-illinois-healthcare,southern illinois healthcare,sih.net,hospital & health care,linkedin.com/company/southern-illinois-healthcare,779,department-of-veterans-affairs,u.s. department of veterans affairs,va.gov,government administration,linkedin.com/company/department-of-veterans-affairs,209,john-a.-logan-college,john a. logan college,jalc.edu,higher education,linkedin.com/company/john-a.-logan-college,208,walmart,walmart,walmartcareers.com,retail,linkedin.com/company/walmart,119,siu-carbondale,siu carbondale,siuc.edu,higher education,linkedin.com/company/siu-carbondale,104,blue-cross-and-blue-shield-of-illinois-new-mexico-oklahoma-&-texas,"blue cross and blue shield of illinois, montana, new mexico, oklahoma & texas",hcsc.com,insurance,linkedin.com/company/blue-cross-and-blue-shield-of-illinois-new-mexico-oklahoma-&-texas,97,centerstone,centerstone,centerstone.org,mental health care,linkedin.com/company/centerstone,90,aisin-mfg.-illinois,aisin mfg. illinois,aisinillinois.com,mechanical or industrial engineering,linkedin.com/company/aisin-mfg.-illinois,81,banterra-bank,banterra bank,banterra.com,banking,linkedin.com/company/banterra-bank,68
"carson city, nevada",NV,"Carson City, NV",22472,state-of-nevada,state of nevada,nv.gov,government administration,linkedin.com/company/state-of-nevada,662,nevada-dept-of-transportation,nevada department of transportation,nevadadot.com,civil engineering,linkedin.com/company/nevada-dept-of-transportation,215,carson-tahoe-health,carson tahoe health,carsontahoe.com,hospital & health care,linkedin.com/company/carson-tahoe-health,190,carson-city-school-district,carson city school district,carsoncityschools.com,primary/secondary education,linkedin.com/company/carson-city-school-district,177,carson-city,"carson city, nevada",carson.org,government administration,linkedin.com/company/carson-city,151,carson-tahoe-regional-healthcare,carson tahoe healthcare,None,hospital & health care,linkedin.com/company/carson-tahoe-regional-healthcare,123,western-nevada-college,western nevada college,wnc.edu,higher education,linkedin.com/company/western-nevada-college,100,harley-davidson-financial-services,harley-davidson financial services,hdfsi.com,financial services,linkedin.com/company/harley-davidson-financial-services,71,click-bond,click bond,clickbond.com,aviation & aerospace,linkedin.com/company/click-bond,66,greater-nevada-credit-union,greater nevada credit union,gncu.org,banking,linkedin.com/company/greater-nevada-credit-union,64
"casper, wyoming",WY,"Casper, WY",39004,natrona-county-school-district-1,natrona county schools,natronaschools.org,primary/secondary education,linkedin.com/company/natrona-county-school-district-1,600,wyoming-medical-center,wyoming medical center,wyomingmedicalcenter.org,hospital & health care,linkedin.com/company/wyoming-medical-center,425,casper-college,casper college,caspercollege.edu,higher education,linkedin.com/company/casper-college,362,city-of-casper,city of casper,None,oil & energy,linkedin.com/company/city-of-casper,147,walmart,walmart,walmartcareers.com,retail,linkedin.com/company/walmart,107,bakerhughes,baker hughes,bakerhughes.com,oil & energy,linkedin.com/company/bakerhughes,106,halliburton,halliburton,halliburton.com,oil & energy,linkedin.com/company/halliburton,101,state-of-wyoming,state of wyoming,wyo.gov,government administration,linkedin.com/company/state-of-wyoming,99,google,google,google.com,internet,linkedin.com/company/google,89,ncsd,ncsd,mec.edu,education management,linkedin.com/company/ncsd,85
"cedar rapids, iowa",IA,"Cedar Rapids, IA",134409,rockwell-collins,rockwell collins,rockwellcollins.com,aviation & aerospace,linkedin.com/company/rockwell-collins,3134,collins-aerospace,collins aerospace,collinsaerospace.com,aviation & aerospace,linkedin.com/company/collins-aerospace,2972,transamerica,transamerica,transamerica.com,financial services,linkedin.com/company/transamerica,1659,university-of-iowa,the university of iowa,uiowa.edu,higher education,linkedin.com/company/university-of-iowa,989,university-of-iowa-hospitals-and-clinics,the university of iowa health care,uihealthcare.com,hospital & health care,linkedin.com/company/university-of-iowa-hospitals-and-clinics,722,kirkwood-community-college,kirkwood community college,kirkwood.edu,higher education,linkedin.com/company/kirkwood-community-college,713,mercy-medical-center_2,mercy medical center,mercycare.org,hospital & health care,linkedin.com/company/mercy-medical-center_2,643,unity-point-health,unitypoint health,unitypoint.org,hospital & health care,linkedin.com/company/unity-point-health,574,nordstrom,nordstrom,nordstrom.com,retail,linkedin.com/company/nordstrom,498,cedar-rapids-community-school-district,cedar rapids community school district,carebuilds.com,education management,linkedin.com/company/cedar-rapids-community-school-district,462
"chambersburg, pennsylvania",PA,"Chambersburg, PA",57637,wellspan-health,wellspan health,wellspan.org,hospital & health care,linkedin.com/company/wellspan-health,225,central-bucks-school-district,central bucks school district,None,education management,linkedin.com/company/central-bucks-school-district,181,doylestownhealth,doylestown health,doylestownhealth.org,hospital & health care,linkedin.com/company/doylestownhealth,177,chambersburg-area-school-district,chambersburg area school district,casdonline.org,education management,linkedin.com/company/chambersburg-area-school-district,148,citi,citi,citigroup.com,financial services,linkedin.com/company/citi,144,jlg-industries,jlg industries,jlg.com,machinery,linkedin.com/company/jlg-industries,143,chambersburg-hospital,chambersburg hospital,None,hospital & health care,linkedin.com/company/chambersburg-hospital,140,merck,merck,merck.com,pharmaceuticals,linkedin.com/company/merck,127,summit-health,summit health,summithealth.org,hospital & health care,linkedin.com/company/summit-health,117,amazon,amazon,amazon.com,internet,linkedin.com/company/amazon,110
"champaign, illinois",IL,"Champaign, IL",131059,university-of-illinois-urbana-champaign,university of illinois at urbana-champaign,illinois.edu,higher education,linkedin.com/company/university-of-illinois-urbana-champaign,11539,carle-foundation-hospital,carle foundation hospital,carle.com,hospital & health care,linkedin.com/company/carle-foundation-hospital,2560,university-of-illinois-system,university of illinois college of applied health sciences,uillinois.edu,higher education,linkedin.com/company/university-of-illinois-system,1157,champaign-unit-4-schools,champaign unit 4 schools,champaignschools.org,education management,linkedin.com/company/champaign-unit-4-schools,676,parkland-college,parkland college,parkland.edu,higher education,linkedin.com/company/parkland-college,526,busey,busey,busey.com,banking,linkedin.com/company/busey,323,christie-clinic,christie clinic,christieclinic.com,hospital & health care,linkedin.com/company/christie-clinic,292,amdocs,amdocs,amdocs.com,telecommunications,linkedin.com/company/amdocs,267,usd116,urbana school district #116,usd116.org,education management,linkedin.com/company/usd116,188,walmart,walmart,walmartcareers.com,retail,linkedin.com/company/walmart,187
"charleston, south carolina",SC,"Charleston, SC",409759,medical-university-of-south-carolina,medical university of south carolina,musc.edu,hospital & health care,linkedin.com/company/medical-university-of-south-carolina,8901,boeing,boeing,boeing.com,aviation & aerospace,linkedin.com/company/boeing,4063,charleston-county-school-district,charleston county school district,ccsdschools.com,education management,linkedin.com/company/charleston-county-school-district,3609,us-navy,us navy,navy.com,military,linkedin.com/company/us-navy,2662,roperstfrancishealthcare,roper st. francis healthcare,rsfh.com,hospital & health care,linkedin.com/company/roperstfrancishealthcare,2496,united-states-air-force,united states air force,airforce.com,defense & space,linkedin.com/company/united-states-air-force,2004,college-of-charleston,college of charleston,cofc.edu,higher education,linkedin.com/company/college-of-charleston,1912,berkeley-county-school-district,berkeley county school district,berkeley.k12.sc.us,primary/secondary education,linkedin.com/company/berkeley-county-school-district,1094,blackbaud,blackbaud,blackbaud.com,computer software,linkedin.com/company/blackbaud,1076,walmart,walmart,walmartcareers.com,retail,linkedin.com/company/walmart,1007
"charleston, west virginia",WV,"Charleston, WV",75242,kanawha-county-board-of-education,kanawha county board of education,kcs.kana.k12.wv.us,education management,linkedin.com/company/kanawha-county-board-of-education,1391,camc,camc,None,hospital & health care,linkedin.com/company/camc,874,charleston-area-medical-center-health-systemv,charleston area medical center health system,camc.org,hospital & health care,linkedin.com/company/charleston-area-medical-center-health-systemv,751,kanawha-county-schools,kanawha county schools,boe.kana.k12.wv.us,education management,linkedin.com/company/kanawha-county-schools,506,state-of-west-virginia,state of west virginia,wv.gov,government administration,linkedin.com/company/state-of-west-virginia,356,thomashealth,thomas health system,thomashealth.org,hospital & health care,linkedin.com/company/thomashealth,242,university-of-charleston,university of charleston,ucwv.edu,higher education,linkedin.com/company/university-of-charleston,153,carefirst-bluecross-blueshield,carefirst bluecross blueshield,carefirst.com,insurance,linkedin.com/company/carefirst-bluecross-blueshield,128,west-virginia-university,west virginia university,wvu.edu,higher education,linkedin.com/company/west-virginia-university,125,bb&t,bb&t,bbt.com,financial services,linkedin.com/company/bb&t,122
"charlotte, north carolina",NC,"Charlotte, NC",1541140,wellsfargo,wells fargo,wellsfargo.com,financial services,linkedin.com/company/wellsfargo,29726,bank-of-america,bank of america,bankofamerica.com,banking,linkedin.com/company/bank-of-america,20615,charmeckschools,charlotte-mecklenburg schools,wearecms.com,primary/secondary education,linkedin.com/company/charmeckschools,10416,atrium-health-us,atrium health,atriumhealth.org,hospital & health care,linkedin.com/company/atrium-health-us,10132,lowe's-home-improvement,"lowe's companies, inc.",lowes.com,retail,linkedin.com/company/lowe's-home-improvement,8552,duke-energy-corporation,duke energy corporation,duke-energy.com,utilities,linkedin.com/company/duke-energy-corporation,7752,carolinas-healthcare-system,carolinas healthcare system,carolinashealthcare.org,hospital & health care,linkedin.com/company/carolinas-healthcare-system,7399,novanthealth,novant health,novanthealth.org,hospital & health care,linkedin.com/company/novanthealth,6951,unc-charlotte,unc charlotte,uncc.edu,higher education,linkedin.com/company/unc-charlotte,5455,tiaa,tiaa,tiaa.org,financial services,linkedin.com/company/tiaa,4216
"charlottesville, virginia",VA,"Charlottesville, VA",120128,university-of-virginia,university of virginia,virginia.edu,higher education,linkedin.com/company/university-of-virginia,7252,uva-health-system,uva health system,None,hospital & health care,linkedin.com/company/uva-health-system,4033,albemarle-county-public-schools,albemarle county public schools,k12albemarle.org,education management,linkedin.com/company/albemarle-county-public-schools,989,albemarle-county,albemarle county,albemarle.org,government administration,linkedin.com/company/albemarle-county,362,city-of-charlottesville,city of charlottesville,charlottesville.org,government administration,linkedin.com/company/city-of-charlottesville,326,cfainstitute,cfa institute,cfainstitute.org,financial services,linkedin.com/company/cfainstitute,278,state_farm,state farm,statefarm.com,insurance,linkedin.com/company/state_farm,266,charlottesville-city-schools,charlottesville city schools,ccs.k12.va.us,medical practice,linkedin.com/company/charlottesville-city-schools,248,university-of-virginia-school-of-medicine,university of virginia school of medicine,None,None,linkedin.com/company/university-of-virginia-school-of-medicine,224,martha-jefferson-hospital,martha jefferson hospital,None,hospital & health care,linkedin.com/company/martha-jefferson-hospital,219
"chattanooga, tennessee",TN,"Chattanooga, TN",243458,tva,tennessee valley authority,tva.gov,utilities,linkedin.com/company/tva,2821,bcbst,bluecross blueshield of tennessee,bcbst.com,insurance,linkedin.com/company/bcbst,2649,unum,unum,unum.com,insurance,linkedin.com/company/unum,2598,erlanger-health-system,erlanger health system,erlanger.org,hospital & health care,linkedin.com/company/erlanger-health-system,2449,hamilton-county-department-of-education,hamilton county department of education,hcde.org,education management,linkedin.com/company/hamilton-county-department-of-education,1749,utchattanooga,university of tennessee at chattanooga aquatic and recreation center,utc.edu,higher education,linkedin.com/company/utchattanooga,1469,shaw-industries,shaw industries,shawinc.com,textiles,linkedin.com/company/shaw-industries,1055,amazon,amazon,amazon.com,internet,linkedin.com/company/amazon,1022,city-of-chattanooga,city of chattanooga,chattanooga.gov,government administration,linkedin.com/company/city-of-chattanooga,925,walmart,walmart,walmartcareers.com,retail,linkedin.com/company/walmart,753
"cheyenne, wyoming",WY,"Cheyenne, WY",52569,united-states-air-force,united states air force,airforce.com,defense & space,linkedin.com/company/united-states-air-force,1036,laramie-county-school-district-1,laramie county school district #1,laramie1.org,primary/secondary education,linkedin.com/company/laramie-county-school-district-1,985,state-of-wyoming,state of wyoming,wyo.gov,government administration,linkedin.com/company/state-of-wyoming,949,cheyenne-regional-medical-center,cheyenne regional medical center,cheyenneregional.org,hospital & health care,linkedin.com/company/cheyenne-regional-medical-center,845,wyoming-department-of-health,wyoming department of health,health.wyo.gov,hospital & health care,linkedin.com/company/wyoming-department-of-health,360,laramie-county-community-college,laramie county community college,lccc.wy.edu,higher education,linkedin.com/company/laramie-county-community-college,240,department-of-veterans-affairs,u.s. department of veterans affairs,va.gov,government administration,linkedin.com/company/department-of-veterans-affairs,197,university-of-wyoming,university of wyoming,uwyo.edu,higher education,linkedin.com/company/university-of-wyoming,184,walmart,walmart,walmartcareers.com,retail,linkedin.com/company/walmart,156,wyoming-department-of-transportation,wyoming department of transportation,dot.state.wy.us,transportation/trucking/railroad,linkedin.com/company/wyoming-department-of-transportation,132
"chicago, illinois",IL,"Chicago, IL",5359522,chicago-public-schools,chicago public schools,cps.edu,education management,linkedin.com/company/chicago-public-schools,24806,walgreens,walgreens,walgreens.com,retail,linkedin.com/company/walgreens,11449,thisisuic,university of illinois at chicago,uic.edu,higher education,linkedin.com/company/thisisuic,10964,amazon,amazon,amazon.com,internet,linkedin.com/company/amazon,10951,abbvie,abbvie,abbvie.com,pharmaceuticals,linkedin.com/company/abbvie,10744,jpmorganchase,jpmorgan chase & co.,jpmorganchase.com,financial services,linkedin.com/company/jpmorganchase,10618,uchicago,university of chicago,uchicago.edu,higher education,linkedin.com/company/uchicago,10219,northwestern-university,northwestern university,northwestern.edu,higher education,linkedin.com/company/northwestern-university,9566,mcdonald's-corporation,mcdonald's,mcdonalds.com,restaurants,linkedin.com/company/mcdonald's-corporation,9439,united-airlines,united airlines,united.com,airlines/aviation,linkedin.com/company/united-airlines,9158
"chico, california",CA,"Chico, CA",91017,california-state-university-chico,"california state university, chico",csuchico.edu,higher education,linkedin.com/company/california-state-university-chico,2203,enloe-medical-center,enloe medical center,enloe.org,hospital & health care,linkedin.com/company/enloe-medical-center,1294,butte-county,butte county,buttecounty.net,government administration,linkedin.com/company/butte-county,879,butte-college,butte college,butte.edu,higher education,linkedin.com/company/butte-college,633,chico-unified-school-district,chico unified school district,weissenborngallery.com,primary/secondary education,linkedin.com/company/chico-unified-school-district,560,build-com,build.com,build.com,retail,linkedin.com/company/build-com,434,oroville-hospital,oroville hospital,orovillehospital.com,hospital & health care,linkedin.com/company/oroville-hospital,355,adventist-health,adventist health,adventisthealth.org,hospital & health care,linkedin.com/company/adventist-health,286,butte-county-office-of-education,butte county office of education,None,education management,linkedin.com/company/butte-county-office-of-education,208,pacific-gas-and-electric-company,pacific gas and electric company,pge.com,utilities,linkedin.com/company/pacific-gas-and-electric-company,168
"cincinnati, ohio",OH,"Cincinnati, OH",1108137,procter-and-gamble,procter & gamble,pg.com,consumer goods,linkedin.com/company/procter-and-gamble,11421,cincinnati-children's-hospital-medical-center,cincinnati children's hospital medical center,cincinnatichildrens.org,hospital & health care,linkedin.com/company/cincinnati-children's-hospital-medical-center,11005,university-of-cincinnati,university of cincinnati,uc.edu,higher education,linkedin.com/company/university-of-cincinnati,8751,kroger,kroger,thekrogerco.com,retail,linkedin.com/company/kroger,7435,fifth-third-bank,fifth third bank,53.com,financial services,linkedin.com/company/fifth-third-bank,7114,geaviation,ge aviation,geaviation.com,aviation & aerospace,linkedin.com/company/geaviation,5728,trihealth,trihealth,trihealth.com,hospital & health care,linkedin.com/company/trihealth,5003,miami-university,miami university,miamioh.edu,higher education,linkedin.com/company/miami-university,4274,fidelity-investments,fidelity investments,fidelity.com,financial services,linkedin.com/company/fidelity-investments,4199,amazon,amazon,amazon.com,internet,linkedin.com/company/amazon,3522
"clarksville, tennessee",TN,"Clarksville, TN",122795,us-army,us army,goarmy.com,military,linkedin.com/company/us-army,8965,austin-peay-state-university,austin peay state university,apsu.edu,higher education,linkedin.com/company/austin-peay-state-university,1173,clarksville-montgomery-county-school-system,clarksville montgomery county school system,cmcss.net,primary/secondary education,linkedin.com/company/clarksville-montgomery-county-school-system,1050,cmcss,cmcss,None,education management,linkedin.com/company/cmcss,760,walmart,walmart,walmartcareers.com,retail,linkedin.com/company/walmart,680,united-states-department-of-defense,united states department of defense,defense.gov,military,linkedin.com/company/united-states-department-of-defense,229,state-of-tennessee,state of tennessee,tn.gov,government administration,linkedin.com/company/state-of-tennessee,223,agero-inc-,"agero, inc.",agero.com,automotive,linkedin.com/company/agero-inc-,212,trane,trane,trane.com,mechanical or industrial engineering,linkedin.com/company/trane,184,electrolux,electrolux,electroluxgroup.com,consumer goods,linkedin.com/company/electrolux,182
"cleveland, ohio",OH,"Cleveland, OH",1130554,cleveland-clinic,cleveland clinic,clevelandclinic.org,hospital & health care,linkedin.com/company/cleveland-clinic,27878,university-hospitals,university hospitals,uhhospitals.org,hospital & health care,linkedin.com/company/university-hospitals,10321,progressive-insurance,progressive insurance,progressive.com,insurance,linkedin.com/company/progressive-insurance,8020,case-western-reserve-university,case western reserve university,case.edu,higher education,linkedin.com/company/case-western-reserve-university,5431,sherwin-williams,sherwin-williams,sherwin-williams.com,chemicals,linkedin.com/company/sherwin-williams,4452,keybank,keybank,key.com,banking,linkedin.com/company/keybank,4439,pnc-bank,pnc,pnc.com,financial services,linkedin.com/company/pnc-bank,3989,the-metrohealth-system,"the metrohealth system (cleveland, oh)",metrohealth.org,hospital & health care,linkedin.com/company/the-metrohealth-system,3786,cleveland-state-university,cleveland state university,csuohio.edu,higher education,linkedin.com/company/cleveland-state-university,3002,cleveland-municipal-school-district,cleveland metropolitan school district,clevelandmetroschools.org,education management,linkedin.com/company/cleveland-municipal-school-district,2756
