metro,origin,destination,duration
"Chico, CA", "Chico Creek Nature Center","Honey Run Covered Bridge & Park",935
"Chico, CA", "Butte College","Chico Regional Airport",1464
"Chico, CA", "Chico Regional Airport","Chico Creek Nature Center",848
"Cincinnati, OH-KY-IN", "Newport Aquarium","Cincinnati/Northern Kentucky International Airport",1357
"Cincinnati, OH-KY-IN", "John A. Roebling Suspension Bridge","University Of Cincinnati: Department of Dermatology",693
"Cincinnati, OH-KY-IN", "Cincinnati Zoo & Botanical Garden","Newport Aquarium",811
"Cincinnati, OH-KY-IN", "University Of Cincinnati: Department of Dermatology","Cincinnati/Northern Kentucky International Airport",1491
"Cincinnati, OH-KY-IN", "Cincinnati/Northern Kentucky International Airport","Cincinnati Zoo & Botanical Garden",1747
"Clarksville, TN-KY", "Dunbar Cave State Park","Clarksville Regional Airport",1163
"Clarksville, TN-KY", "Heritage Park Sports Complex","Austin Peay State University",706
"Clarksville, TN-KY", "Beachaven Vineyards & Winery","Dunbar Cave State Park",560
"Clarksville, TN-KY", "Austin Peay State University","Clarksville Regional Airport",1046
"Clarksville, TN-KY", "Clarksville Regional Airport","Beachaven Vineyards & Winery",1351
"Cleveland, TN", "Red Clay State Historic Park","Cleveland Regional Jetport",1790
"Cleveland, TN", "Schimmels Park","Lee University",143
"Cleveland, TN", "Fletcher Park","Red Clay State Historic Park",1579
"Cleveland, TN", "Lee University","Cleveland Regional Jetport",881
"Cleveland, TN", "Cleveland Regional Jetport","Fletcher Park",1186
"Cleveland-Elyria, OH", "Rocky River Nature Center","Lorain County Regional Airport",1616
"Cleveland-Elyria, OH", "Lorain County Metro Parks","Lorain County Community College",1184
"Cleveland-Elyria, OH", "Rocky River Reservation","Rocky River Nature Center",60
"Cleveland-Elyria, OH", "Lorain County Community College","Lorain County Regional Airport",1323
"Cleveland-Elyria, OH", "Lorain County Regional Airport","Rocky River Reservation",1619
"Coeur d'Alene, ID", "Buck Knives","Otterson Ranch Airport",582
"Coeur d'Alene, ID", "McEuen Park","North Idaho College",1172
"Coeur d'Alene, ID", "Finucane Park","Buck Knives",1358
"Coeur d'Alene, ID", "North Idaho College","Otterson Ranch Airport",567
"Coeur d'Alene, ID", "Otterson Ranch Airport","Finucane Park",1378
"College Station-Bryan, TX", "Mrs. Hollie Tatnell's Grave","Hearne Municipal Airport",397
"College Station-Bryan, TX", "Scurry Park","Texas Flying Club",529
"College Station-Bryan, TX", "Castle Heights Park","Mrs. Hollie Tatnell's Grave",1281
"College Station-Bryan, TX", "Texas Flying Club","Hearne Municipal Airport",1576
"College Station-Bryan, TX", "Hearne Municipal Airport","Castle Heights Park",1558
"Colorado Springs, CO", "The Broadmoor Manitou and Pikes Peak Cog Railway","Colorado Springs Airport",1828
"Colorado Springs, CO", "North Pole Colorado Santa’s Workshop","University of Colorado Colorado Springs",1489
"Colorado Springs, CO", "Cheyenne Mountain Zoo","The Broadmoor Manitou and Pikes Peak Cog Railway",1488
"Colorado Springs, CO", "University of Colorado Colorado Springs","Colorado Springs Airport",1503
"Colorado Springs, CO", "Colorado Springs Airport","Cheyenne Mountain Zoo",1467
"Columbia, MO", "Finger Lakes State Park","Columbia Regional Airport",1605
"Columbia, MO", "Stephens Lake Park","Columbia College",366
"Columbia, MO", "Rock Bridge Memorial State Park","Finger Lakes State Park",1692
"Columbia, MO", "Columbia College","Columbia Regional Airport",1162
"Columbia, MO", "Columbia Regional Airport","Rock Bridge Memorial State Park",824
"Columbia, SC", "Columbia Museum of Art","Columbia Metropolitan Airport",1085
"Columbia, SC", "Finlay Park","Columbia International University",1092
"Columbia, SC", "Sesquicentennial State Park","Columbia Museum of Art",1322
"Columbia, SC", "Columbia International University","Columbia Metropolitan Airport",1278
"Columbia, SC", "Columbia Metropolitan Airport","Sesquicentennial State Park",1931
"Columbus, GA-AL", "Six Mile Creek Park","Craig Air Field",784
"Columbus, GA-AL", "Selma Interpretive Center of the Selma to Montgomery National Historic Trail","George Corley Wallace State Community College Selma",491
"Columbus, GA-AL", "Lowndes Interpretive Center","Six Mile Creek Park",1472
"Columbus, GA-AL", "George Corley Wallace State Community College Selma","Craig Air Field",1000
"Columbus, GA-AL", "Craig Air Field","Lowndes Interpretive Center",1359
"Columbus, IN", "Lincoln Park","Columbus Municipal Airport",501
"Columbus, IN", "Clifty Park","IUPUC",746
"Columbus, IN", "Freedom Field","Lincoln Park",361
"Columbus, IN", "IUPUC","Columbus Municipal Airport",107
"Columbus, IN", "Columbus Municipal Airport","Freedom Field",277
"Columbus, OH", "Center of Science and Industry (COSI)","Rickenbacker International Airport",1358
"Columbus, OH", "Franklin Park Conservatory and Botanical Gardens","Ohio State University",759
"Columbus, OH", "Columbus Museum of Art","Center of Science and Industry (COSI)",361
"Columbus, OH", "Ohio State University","Rickenbacker International Airport",1510
"Columbus, OH", "Rickenbacker International Airport","Columbus Museum of Art",1310
"Corpus Christi, TX", "USS Lexington","Corpus Christi International Airport",932
"Corpus Christi, TX", "Texas State Aquarium","Texas A&M University-Corpus Christi",1484
"Corpus Christi, TX", "Cole Park","USS Lexington",747
"Corpus Christi, TX", "Texas A&M University-Corpus Christi","Corpus Christi International Airport",1388
"Corpus Christi, TX", "Corpus Christi International Airport","Cole Park",1193
"Corvallis, OR", "Peavy Arboretum","Joyner Airfield",435
"Corvallis, OR", "Siuslaw National Forest Supervisor's Office","College of Veterinary Medicine",158
"Corvallis, OR", "Avery Park & Natural Area","Peavy Arboretum",1163
"Corvallis, OR", "College of Veterinary Medicine","Joyner Airfield",961
"Corvallis, OR", "Joyner Airfield","Avery Park & Natural Area",936
"Crestview-Fort Walton Beach-Destin, FL", "Gulfarium Marine Adventure Park","Destin-Fort Walton Beach Airport",1198
"Crestview-Fort Walton Beach-Destin, FL", "Timberview Destin Helicopters","Northwest Florida State College",1404
"Crestview-Fort Walton Beach-Destin, FL", "HarborWalk Village","Gulfarium Marine Adventure Park",537
"Crestview-Fort Walton Beach-Destin, FL", "Northwest Florida State College","Destin-Fort Walton Beach Airport",813
"Crestview-Fort Walton Beach-Destin, FL", "Destin-Fort Walton Beach Airport","HarborWalk Village",1708
"Cumberland, MD-WV", "Holly River State Park","Braxton County Airport",3304
"Cumberland, MD-WV", "Addison Visitors Center & Gallery","Holly River State Park",2107
"Cumberland, MD-WV", "Braxton County Airport","Addison Visitors Center & Gallery",3043
"Dallas-Fort Worth-Arlington, TX", "AT&T Stadium","Dallas/Fort Worth International Airport (HQ)",1256
"Dallas-Fort Worth-Arlington, TX", "Six Flags Over Texas","Dallas Baptist University",1313
"Dallas-Fort Worth-Arlington, TX", "Cutting Edge Haunted House","AT&T Stadium",1046
"Dallas-Fort Worth-Arlington, TX", "Dallas Baptist University","Dallas/Fort Worth International Airport (HQ)",1756
"Dallas-Fort Worth-Arlington, TX", "Dallas/Fort Worth International Airport (HQ)","Cutting Edge Haunted House",1514
"Dalton, GA", "Johns Mountain Wildlife Management Area","Dalton Municipal Airport",3039
"Dalton, GA", "Dalton Freight Depot and Visitors Center","Northwest Georgia College and Career Academy",456
"Dalton, GA", "Blunt House","Johns Mountain Wildlife Management Area",2601
"Dalton, GA", "Northwest Georgia College and Career Academy","Dalton Municipal Airport",703
"Dalton, GA", "Dalton Municipal Airport","Blunt House",824
"Danville, IL", "Kickapoo State Recreation Area","Danville Correctional Center Heliport",1330
"Danville, IL", "Vermilion County Museum","Danville Area Community College",451
"Danville, IL", "Lake Vermilion County Park","Kickapoo State Recreation Area",725
"Danville, IL", "Danville Area Community College","Danville Correctional Center Heliport",359
"Danville, IL", "Danville Correctional Center Heliport","Lake Vermilion County Park",998
"Daphne-Fairhope-Foley, AL", "USS ALABAMA Battleship Memorial Park","Mobile Aeroplex at Brookley",680
"Daphne-Fairhope-Foley, AL", "Five Rivers Delta Center","University of South Alabama",1383
"Daphne-Fairhope-Foley, AL", "Meaher State Park","USS ALABAMA Battleship Memorial Park",553
"Daphne-Fairhope-Foley, AL", "University of South Alabama","Mobile Aeroplex at Brookley",2050
"Daphne-Fairhope-Foley, AL", "Mobile Aeroplex at Brookley","Meaher State Park",844
"Davenport-Moline-Rock Island, IA-IL", "Government Bridge","Quad Cities International Airport",852
"Davenport-Moline-Rock Island, IA-IL", "Putnam Museum and Science Center","Black Hawk College",1460
"Davenport-Moline-Rock Island, IA-IL", "Prospect Park","Government Bridge",832
"Davenport-Moline-Rock Island, IA-IL", "Black Hawk College","Quad Cities International Airport",598
"Davenport-Moline-Rock Island, IA-IL", "Quad Cities International Airport","Prospect Park",532
"Dayton-Kettering, OH", "National Museum of the US Air Force","Dayton Transportation Center Heliport",871
"Dayton-Kettering, OH", "The Dayton Art Institute","Sinclair Community College",357
"Dayton-Kettering, OH", "Scene75 Entertainment Center | Dayton","National Museum of the US Air Force",1051
"Dayton-Kettering, OH", "Sinclair Community College","Dayton Transportation Center Heliport",177
"Dayton-Kettering, OH", "Dayton Transportation Center Heliport","Scene75 Entertainment Center | Dayton",735
"Decatur, AL", "Old State Bank","Huntsville International Airport",1468
"Decatur, AL", "Wheeler National Wildlife Refuge Visitor Center","Harris Hall",1054
"Decatur, AL", "Point Mallard Park","Old State Bank",712
"Decatur, AL", "Harris Hall","Huntsville International Airport",1409
"Decatur, AL", "Huntsville International Airport","Point Mallard Park",1845
"Decatur, IL", "Scovill Zoo","Decatur Airport",461
"Decatur, IL", "Children's Museum of Illinois","Millikin University",676
"Decatur, IL", "Cresthaven Park","Scovill Zoo",1045
"Decatur, IL", "Millikin University","Decatur Airport",917
"Decatur, IL", "Decatur Airport","Cresthaven Park",1214
"Deltona-Daytona Beach-Ormond Beach, FL", "Daytona International Speedway","Daytona Beach International Airport",703
"Deltona-Daytona Beach-Ormond Beach, FL", "Daytona Flea & Farmers Market","Daytona State College",650
"Deltona-Daytona Beach-Ormond Beach, FL", "Daytona Lagoon","Daytona International Speedway",1024
"Deltona-Daytona Beach-Ormond Beach, FL", "Daytona State College","Daytona Beach International Airport",544
"Deltona-Daytona Beach-Ormond Beach, FL", "Daytona Beach International Airport","Daytona Lagoon",1018
"Denver-Aurora-Lakewood, CO", "iFLY Indoor Skydiving - Denver","Centennial Airport (KAPA)",762
"Denver-Aurora-Lakewood, CO", "Highlands Ranch Mansion","Arapahoe Community College",1047
"Denver-Aurora-Lakewood, CO", "deKoevend Park","iFLY Indoor Skydiving - Denver",826
"Denver-Aurora-Lakewood, CO", "Arapahoe Community College","Centennial Airport (KAPA)",1423
"Denver-Aurora-Lakewood, CO", "Centennial Airport (KAPA)","deKoevend Park",1076
"Des Moines-West Des Moines, IA", "Living History Farms","Des Moines International Airport",1068
"Des Moines-West Des Moines, IA", "Des Moines Art Center","Drake University",574
"Des Moines-West Des Moines, IA", "Science Center of Iowa","Living History Farms",993
"Des Moines-West Des Moines, IA", "Drake University","Des Moines International Airport",1026
"Des Moines-West Des Moines, IA", "Des Moines International Airport","Science Center of Iowa",940
"Detroit-Warren-Dearborn, MI", "MotorCity Casino Hotel","Detroit Metropolitan Wayne County Airport",1555
"Detroit-Warren-Dearborn, MI", "Henry Ford Museum of American Innovation","Wayne State University",1205
"Detroit-Warren-Dearborn, MI", "GMRenCen","MotorCity Casino Hotel",418
"Detroit-Warren-Dearborn, MI", "Wayne State University","Detroit Metropolitan Wayne County Airport",1619
"Detroit-Warren-Dearborn, MI", "Detroit Metropolitan Wayne County Airport","GMRenCen",1602
"Dothan, AL", "Water World","Dothan Regional Airport",844
"Dothan, AL", "Landmark Park","Troy University Dothan Campus",888
"Dothan, AL", "Escape Dothan","Water World",451
"Dothan, AL", "Troy University Dothan Campus","Dothan Regional Airport",621
"Dothan, AL", "Dothan Regional Airport","Escape Dothan",661
"Dover, DE", "Dover Motor Speedway","Smyrna Airport-38N",1200
"Dover, DE", "First State Heritage Park","Wesley College / DSU",272
"Dover, DE", "Bombay Hook National Wildlife Refuge","Dover Motor Speedway",1517
"Dover, DE", "Wesley College / DSU","Smyrna Airport-38N",1392
"Dover, DE", "Smyrna Airport-38N","Bombay Hook National Wildlife Refuge",1148
"Dubuque, IA", "Diamond Jo Casino Dubuque","Dubuque Regional Airport",878
"Dubuque, IA", "National Mississippi River Museum & Aquarium","Loras College",395
"Dubuque, IA", "Q Casino","Diamond Jo Casino Dubuque",496
"Dubuque, IA", "Loras College","Dubuque Regional Airport",972
"Dubuque, IA", "Dubuque Regional Airport","Q Casino",987
"Duluth, MN-WI", "Riggs County Park","J & L Aviation Airport-WS46",653
"Duluth, MN-WI", "Dartford Historical Society","Ripon College",721
"Duluth, MN-WI", "Waupun Truck-N-Show","Riggs County Park",1242
"Duluth, MN-WI", "Ripon College","J & L Aviation Airport-WS46",418
"Duluth, MN-WI", "J & L Aviation Airport-WS46","Waupun Truck-N-Show",1612
"Durham-Chapel Hill, NC", "Museum of Life and Science","Raleigh-Durham International Airport",1398
"Durham-Chapel Hill, NC", "Frankie's of Raleigh","Duke University",1188
"Durham-Chapel Hill, NC", "American Tobacco Campus","Museum of Life and Science",580
"Durham-Chapel Hill, NC", "Duke University","Raleigh-Durham International Airport",1464
"Durham-Chapel Hill, NC", "Raleigh-Durham International Airport","American Tobacco Campus",1072
"East Stroudsburg, PA", "Paulinskill Viaduct","Blairstown Airport-1N7",495
"East Stroudsburg, PA", "Camelback Ski Resort","East Stroudsburg University of Pennsylvania",1321
"East Stroudsburg, PA", "Great Wolf Lodge Water Park | Pocono Mountains","Paulinskill Viaduct",1615
"East Stroudsburg, PA", "East Stroudsburg University of Pennsylvania","Blairstown Airport-1N7",1392
"East Stroudsburg, PA", "Blairstown Airport-1N7","Great Wolf Lodge Water Park | Pocono Mountains",2146
"Eau Claire, WI", "Children’s Museum of Eau Claire","Chippewa Valley Regional Airport",751
"Eau Claire, WI", "Action City","University of Wisconsin–Eau Claire",751
"Eau Claire, WI", "Phoenix Park","Children’s Museum of Eau Claire",85
"Eau Claire, WI", "University of Wisconsin–Eau Claire","Chippewa Valley Regional Airport",971
"Eau Claire, WI", "Chippewa Valley Regional Airport","Phoenix Park",699
"El Centro, CA", "El Barco Parque Acuático","Imperial County Airport",2431
"El Centro, CA", "Institute for Cultural Research Museum. UABC","San Diego State University | Imperial Valley Campus",1025
"El Centro, CA", "Comité de Turismo y Convenciones del Municipio de Mexicali, Baja California","El Barco Parque Acuático",1035
"El Centro, CA", "San Diego State University | Imperial Valley Campus","Imperial County Airport",1434
"El Centro, CA", "Imperial County Airport","Comité de Turismo y Convenciones del Municipio de Mexicali, Baja California",2255
"Elizabethtown-Fort Knox, KY", "Fort Knox","GODMAN AAF",452
"Elizabethtown-Fort Knox, KY", "Otter Creek Outdoor Recreation Area","Commonwealth Medical Learning",1509
"Elizabethtown-Fort Knox, KY", "United States Bullion Depository","Fort Knox",744
"Elizabethtown-Fort Knox, KY", "Commonwealth Medical Learning","GODMAN AAF",713
"Elizabethtown-Fort Knox, KY", "GODMAN AAF","United States Bullion Depository",319
"Elkhart-Goshen, IN", "The Barns at Nappanee","Goshen Municipal Airport-GSH",1420
"Elkhart-Goshen, IN", "Studebaker Park","Goshen College",1381
"Elkhart-Goshen, IN", "Fruit Hills Winery & Orchard","The Barns at Nappanee",1884
"Elkhart-Goshen, IN", "Goshen College","Goshen Municipal Airport-GSH",446
"Elkhart-Goshen, IN", "Goshen Municipal Airport-GSH","Fruit Hills Winery & Orchard",1381
"Elmira, NY", "National Soaring Museum","Elmira Regional Airport",914
"Elmira, NY", "Chemung Valley History Museum","Elmira College",268
"Elmira, NY", "Pulaski Park","National Soaring Museum",650
"Elmira, NY", "Elmira College","Elmira Regional Airport",1073
"Elmira, NY", "Elmira Regional Airport","Pulaski Park",1053
"El Paso, TX", "Sunland Park Racetrack & Casino","El Paso International Airport",1516
"El Paso, TX", "Franklin Mountains State Park","University of Texas at El Paso",1436
"El Paso, TX", "Wyler Aerial Tramway","Sunland Park Racetrack & Casino",1377
"El Paso, TX", "University of Texas at El Paso","El Paso International Airport",1394
"El Paso, TX", "El Paso International Airport","Wyler Aerial Tramway",1098
"Enid, OK", "Government Springs Park","Enid-Woodring Airport",526
"Enid, OK", "Midgley Museum","Northwestern Oklahoma State University",412
"Enid, OK", "Don Haskins Park","Government Springs Park",121
"Enid, OK", "Northwestern Oklahoma State University","Enid-Woodring Airport",406
"Enid, OK", "Enid-Woodring Airport","Don Haskins Park",655
"Erie, PA", "Splash Lagoon","Erie International Airport",1084
"Erie, PA", "Asbury Park","Gannon University",989
"Erie, PA", "Presque Isle Partnership","Splash Lagoon",1172
"Erie, PA", "Gannon University","Erie International Airport",869
"Erie, PA", "Erie International Airport","Presque Isle Partnership",505
"Eugene-Springfield, OR", "Alton Baker Park","Mazama Timber Pad",981
"Eugene-Springfield, OR", "Cascades Raptor Center","Lane Community College",752
"Eugene-Springfield, OR", "Jordan Schnitzer Museum of Art","Alton Baker Park",677
"Eugene-Springfield, OR", "Lane Community College","Mazama Timber Pad",691
"Eugene-Springfield, OR", "Mazama Timber Pad","Jordan Schnitzer Museum of Art",1069
"Evansville, IN-KY", "Fort Boonesborough State Park","Forest Hill Airport",1640
"Evansville, IN-KY", "Raven Run Nature Sanctuary","Eastern Kentucky University",1874
"Evansville, IN-KY", "Talon Winery & Vineyards","Fort Boonesborough State Park",1690
"Evansville, IN-KY", "Eastern Kentucky University","Forest Hill Airport",1809
"Evansville, IN-KY", "Forest Hill Airport","Talon Winery & Vineyards",955
"Fairbanks, AK", "Pioneer Air Museum","Fairbanks International Airport",517
"Fairbanks, AK", "Morris Thompson Cultural & Visitors Center","UAF Community and Technical College",243
"Fairbanks, AK", "Fountainhead Antique Auto Museum","Pioneer Air Museum",478
"Fairbanks, AK", "UAF Community and Technical College","Fairbanks International Airport",774
"Fairbanks, AK", "Fairbanks International Airport","Fountainhead Antique Auto Museum",815
"Fargo, ND-MN", "FARGODOME","Hector International Airport",337
"Fargo, ND-MN", "Fargo Air Museum","Concordia College",799
"Fargo, ND-MN", "Hjemkomst Center","FARGODOME",631
"Fargo, ND-MN", "Concordia College","Hector International Airport",987
"Fargo, ND-MN", "Hector International Airport","Hjemkomst Center",821
"Farmington, NM", "Northern Edge Navajo Casino","Four Corners Regional Airport",786
"Farmington, NM", "Riverside Nature Center","San Juan College",678
"Farmington, NM", "Farmington Museum","Northern Edge Navajo Casino",1029
"Farmington, NM", "San Juan College","Four Corners Regional Airport",804
"Farmington, NM", "Four Corners Regional Airport","Farmington Museum",746
"Fayetteville, NC", "Airborne & Special Operations Museum Foundation","Fayetteville Regional Airport",775
"Fayetteville, NC", "Honeycutt Park","Fayetteville State University",490
"Fayetteville, NC", "Cape Fear Botanical Garden","Airborne & Special Operations Museum Foundation",458
"Fayetteville, NC", "Fayetteville State University","Fayetteville Regional Airport",1005
"Fayetteville, NC", "Fayetteville Regional Airport","Cape Fear Botanical Garden",779
"Fayetteville-Springdale-Rogers, AR", "Walton Arts Center","Drake Field",698
"Fayetteville-Springdale-Rogers, AR", "Prairie Grove Battlefield State Park","University of Arkansas",1434
"Fayetteville-Springdale-Rogers, AR", "Lake Fayetteville Park","Walton Arts Center",979
"Fayetteville-Springdale-Rogers, AR", "University of Arkansas","Drake Field",849
"Fayetteville-Springdale-Rogers, AR", "Drake Field","Lake Fayetteville Park",1009
"Flagstaff, AZ", "Arizona Snowbowl","Flagstaff Pulliam Airport",2395
"Flagstaff, AZ", "Lowell Observatory","Northern Arizona University",614
"Flagstaff, AZ", "Flagstaff Visitor Center","Arizona Snowbowl",1708
"Flagstaff, AZ", "Northern Arizona University","Flagstaff Pulliam Airport",586
"Flagstaff, AZ", "Flagstaff Pulliam Airport","Flagstaff Visitor Center",776
"Flint, MI", "Flint Institute of Arts","Bishop International Airport",882
"Flint, MI", "Crossroads Village & Huckleberry Railroad","University of Michigan-Flint",791
"Flint, MI", "Flint Children's Museum","Flint Institute of Arts",430
"Flint, MI", "University of Michigan-Flint","Bishop International Airport",857
"Flint, MI", "Bishop International Airport","Flint Children's Museum",847
"Florence, SC", "Lynches River County Park","Florence Regional Airport",1377
"Florence, SC", "Florence County Museum","Francis Marion University",756
"Florence, SC", "The Waters Building","Lynches River County Park",1349
"Florence, SC", "Francis Marion University","Florence Regional Airport",591
"Florence, SC", "Florence Regional Airport","The Waters Building",385
"Florence-Muscle Shoals, AL", "Tuscumbia Historic District","Northwest Alabama Regional Airport",716
"Florence-Muscle Shoals, AL", "McFarland Park","University of North Alabama",530
"Florence-Muscle Shoals, AL", "Helen Keller Birthplace","Tuscumbia Historic District",156
"Florence-Muscle Shoals, AL", "University of North Alabama","Northwest Alabama Regional Airport",923
"Florence-Muscle Shoals, AL", "Northwest Alabama Regional Airport","Helen Keller Birthplace",826
"Fond du Lac, WI", "Kiekhaefer Park","Fond du Lac County Airport",943
"Fond du Lac, WI", "Taylor Park","Marian University Bookstore",493
"Fond du Lac, WI", "Veterans Park","Kiekhaefer Park",814
"Fond du Lac, WI", "Marian University Bookstore","Fond du Lac County Airport",717
"Fond du Lac, WI", "Fond du Lac County Airport","Veterans Park",558
"Fort Collins, CO", "Boyd Lake State Park","Northern Colorado Regional Airport",726
"Fort Collins, CO", "Fort Collins Museum of Discovery","Colorado State University",621
"Fort Collins, CO", "Lee Martinez Community Park","Boyd Lake State Park",1829
"Fort Collins, CO", "Colorado State University","Northern Colorado Regional Airport",1480
"Fort Collins, CO", "Northern Colorado Regional Airport","Lee Martinez Community Park",1440
"Fort Smith, AR-OK", "Kay Rodgers Park","Fort Smith Regional Airport",738
"Fort Smith, AR-OK", "Fort Smith National Historic Site","University of Arkansas - Fort Smith",682
"Fort Smith, AR-OK", "Park at West End","Kay Rodgers Park",595
"Fort Smith, AR-OK", "University of Arkansas - Fort Smith","Fort Smith Regional Airport",523
"Fort Smith, AR-OK", "Fort Smith Regional Airport","Park at West End",926
"Fort Wayne, IN", "Science Central","Reichhart",1136
"Fort Wayne, IN", "Fox Island County Park","Indiana Tech",1329
"Fort Wayne, IN", "Johnny Appleseed Park","Science Central",301
"Fort Wayne, IN", "Indiana Tech","Reichhart",909
"Fort Wayne, IN", "Reichhart","Johnny Appleseed Park",1172
"Fresno, CA", "Fresno Chaffee Zoo","Fresno Yosemite International Airport",887
"Fresno, CA", "Kearney Park","Fresno City College",971
"Fresno, CA", "Oso de Oro Park","Fresno Chaffee Zoo",832
"Fresno, CA", "Fresno City College","Fresno Yosemite International Airport",1057
"Fresno, CA", "Fresno Yosemite International Airport","Oso de Oro Park",1261
"Gadsden, AL", "Central Carver Legacy Museum","Northeast Alabama Regional Airport",905
"Gadsden, AL", "Wilson Park","Gadsden State Community College - Wallace Drive Campus",638
"Gadsden, AL", "Gadsden Museum of Art","Central Carver Legacy Museum",299
"Gadsden, AL", "Gadsden State Community College - Wallace Drive Campus","Northeast Alabama Regional Airport",702
"Gadsden, AL", "Northeast Alabama Regional Airport","Gadsden Museum of Art",921
"Gainesville, FL", "Florida Museum of Natural History-Exhibits","Gainesville Regional Airport",1322
"Gainesville, FL", "Paynes Prairie Preserve State Park","University of Florida College of Veterinary Medicine",813
"Gainesville, FL", "Harn Museum of Art","Florida Museum of Natural History-Exhibits",96
"Gainesville, FL", "University of Florida College of Veterinary Medicine","Gainesville Regional Airport",1011
"Gainesville, FL", "Gainesville Regional Airport","Harn Museum of Art",1317
"Gainesville, GA", "Don Carter State Park","Lee Gilmer Memorial Airport - GVL",1324
"Gainesville, GA", "Ink Interactive Neighborhood","Brenau University",370
"Gainesville, GA", "The Kinsey Family Farm","Don Carter State Park",2052
"Gainesville, GA", "Brenau University","Lee Gilmer Memorial Airport - GVL",642
"Gainesville, GA", "Lee Gilmer Memorial Airport - GVL","The Kinsey Family Farm",1629
"Gettysburg, PA", "Liberty Mountain Resort","Waltz",1369
"Gettysburg, PA", "Land of Little Horses","Mount St. Mary's University",1247
"Gettysburg, PA", "Mark Nesbitt's Ghosts of Gettysburg Candlelight Walking Tours","Liberty Mountain Resort",1058
"Gettysburg, PA", "Mount St. Mary's University","Waltz",872
"Gettysburg, PA", "Waltz","Mark Nesbitt's Ghosts of Gettysburg Candlelight Walking Tours",636
"Glens Falls, NY", "Six Flags Great Escape Lodge & Indoor Waterpark","The Floyd Bennett Memorial Airport (GFL)",764
"Glens Falls, NY", "West Mountain","SUNY Adirondack",1026
"Glens Falls, NY", "Moreau Lake State Park","Six Flags Great Escape Lodge & Indoor Waterpark",959
"Glens Falls, NY", "SUNY Adirondack","The Floyd Bennett Memorial Airport (GFL)",516
"Glens Falls, NY", "The Floyd Bennett Memorial Airport (GFL)","Moreau Lake State Park",1409
"Goldsboro, NC", "Cliffs of the Neuse State Park","WAYNE EXECUTIVE JETPORT",1625
"Goldsboro, NC", "Mina Weil Park","United Christian College",221
"Goldsboro, NC", "Veterans Memorial","Cliffs of the Neuse State Park",1235
"Goldsboro, NC", "United Christian College","WAYNE EXECUTIVE JETPORT",877
"Goldsboro, NC", "WAYNE EXECUTIVE JETPORT","Veterans Memorial",738
"Grand Forks, ND-MN", "Spider Lake ATV/ORV/ORM Trails","Backus Municipal Airport-7Y3",1433
"Grand Forks, ND-MN", "Screamin' Eagle Acres","Spider Lake ATV/ORV/ORM Trails",1098
"Grand Forks, ND-MN", "Backus Municipal Airport-7Y3","Screamin' Eagle Acres",848
"Grand Island, NE", "Memorial Park","Central Nebraska Regional Airport",688
"Grand Island, NE", "Stolley Park","Hastings Grain Inspection Inc",383
"Grand Island, NE", "Stolley Park Kids Kingdom","Memorial Park",325
"Grand Island, NE", "Hastings Grain Inspection Inc","Central Nebraska Regional Airport",516
"Grand Island, NE", "Central Nebraska Regional Airport","Stolley Park Kids Kingdom",1075
"Grand Junction, CO", "Studt's Pumpkin Patch and Corn Maze","Grand Junction Regional Airport",841
"Grand Junction, CO", "Window Rock","Colorado Mesa University",1951
"Grand Junction, CO", "Bananas Fun Park","Studt's Pumpkin Patch and Corn Maze",563
"Grand Junction, CO", "Colorado Mesa University","Grand Junction Regional Airport",654
"Grand Junction, CO", "Grand Junction Regional Airport","Bananas Fun Park",807
"Grand Rapids-Kentwood, MI", "Frederik Meijer Gardens & Sculpture Park","Gerald R. Ford International Airport",818
"Grand Rapids-Kentwood, MI", "Grand Rapids Art Museum","Grand Valley State University",1338
"Grand Rapids-Kentwood, MI", "The Gerald R. Ford Presidential Museum","Frederik Meijer Gardens & Sculpture Park",535
"Grand Rapids-Kentwood, MI", "Grand Valley State University","Gerald R. Ford International Airport",1969
"Grand Rapids-Kentwood, MI", "Gerald R. Ford International Airport","The Gerald R. Ford Presidential Museum",1165
"Grants Pass, OR", "Elegance Antiques","Grants Pass Airport",779
"Grants Pass, OR", "Wildlife Images Rehabilitation and Education Center","Rogue Community College - Redwood Campus",1315
"Grants Pass, OR", "Palmerton Park","Elegance Antiques",920
"Grants Pass, OR", "Rogue Community College - Redwood Campus","Grants Pass Airport",1309
"Grants Pass, OR", "Grants Pass Airport","Palmerton Park",1064
"Great Falls, MT", "Lewis & Clark Trail Heritage Foundation","Great Falls International Airport",1145
"Great Falls, MT", "Children's Museum of Montana","University of Providence",531
"Great Falls, MT", "The History Museum","Lewis & Clark Trail Heritage Foundation",718
"Great Falls, MT", "University of Providence","Great Falls International Airport",767
"Great Falls, MT", "Great Falls International Airport","The History Museum",585
"Greeley, CO", "Island Grove Regional Park","Greeley-Weld County Airport",589
"Greeley, CO", "Lincoln Park","University of Northern Colorado",353
"Greeley, CO", "Prairie View Park","Island Grove Regional Park",919
"Greeley, CO", "University of Northern Colorado","Greeley-Weld County Airport",570
"Greeley, CO", "Greeley-Weld County Airport","Prairie View Park",858
"Green Bay, WI", "Long Tail Point Lighthouse, llc","Green Bay Austin Straubel International Airport",1010
"Green Bay, WI", "Grassy Island Lighthouse, llc","Northeast Wisconsin Technical College",963
